업체구분,업체명,지번 주소,도로명 주소,위도,경도,연락처
관광지,DMZ박물관,강원 고성군 현내면 송현리 212,강원 고성군 현내면 통일전망대로 369,38.57624688,128.3825278,033-681-0625
관광지,간현관광지,강원 원주시 지정면 간현리 1056-24,강원 원주시 지정면 소금산길 12,37.36457641,127.834038,033-749-4860
관광지,강릉안반데기관광농원,,강원 강릉시  왕산면 안반데기1길 203,37.608741,128.7401,033-644-8552
관광지,강릉커피거리,강원 강릉시 견소동 286,강원 강릉시 창해로14번길 20-1,37.77257827,128.9473353,033-640-4531
관광지,강릉항,강원 강릉시 견소동 286-5,강원 강릉시 창해로14번길 55-11,37.7713846,128.9517265,033-640-5420
관광지,강문솟대다리,강원 강릉시 강문동 248-4,,37.79777324,128.9167459,033-660-3864
관광지,강문해변,강원 강릉시 강문동 182-1,강원 강릉시 창해로350번길 7,37.79475498,128.9188935,033-660-3865
관광지,강아지숲 테마파크,강원 춘천시 남산면 광판리 1193,강원 춘천시 남산면 충효로 437,37.73643502,127.6620202,033-913-1400
관광지,경강 레일바이크,강원 춘천시 남산면 서천리 226-6,강원 춘천시 남산면 서백길 57,37.84274539,127.5509472,033-245-1002
관광지,경포해변,강원 강릉시 안현동 산1-9,강원 강릉시 창해로 514,37.80567878,128.9074027,033-640-4531
관광지,고석정,강원 철원군 동송읍 장흥리 20-1,강원 철원군 동송읍 태봉로 1825,38.18542141,127.2874037,033-450-5559
관광지,공지천공원,강원 춘천시 근화동 690-1,,37.87518262,127.7095278,033-250-3089
관광지,국민의숲,강원 평창군 대관령면 횡계리 14-370,강원 평창군 대관령면 가시머리길 36-54,37.68842511,128.7456921,033-336-4037
관광지,국제평화아트파크,강원 화천군 화천읍 동촌리 2917-9,강원 화천군 화천읍 평화로 3518,38.21098594,127.8510211,033-440-2361
관광지,김유정역 폐역,강원 춘천시 신동면 증리 859-9,,37.81948621,127.7164675,033-261-7780
관광지,꺼먹다리,강원 화천군 화천읍 대이리 468-3,,38.10663593,127.76235,033-440-2575
관광지,낙산해수욕장,강원 양양군 강현면 주청리 1-1,강원 양양군 강현면 해맞이길 59,38.11692058,128.633882,033-670-2518
관광지,남애3리해수욕장,강원 양양군 현남면 남애리 6-53,,37.94595038,128.7839069,033-670-2518
관광지,남애항,강원 양양군 현남면 남애리 2-2,강원 양양군 현남면 매바위길 138,37.94492468,128.7871306,033-670-2398
관광지,남애항 스카이워크 전망대,강원 양양군 현남면 남애리 2-72,,37.94484473,128.7884848,033-670-2397
관광지,남이섬,강원 춘천시 남산면 방하리 198-7,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8114
관광지,남이섬 투개더파크,,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8008
관광지,노동당사,강원 철원군 철원읍 관전리 3-5,강원 철원군 철원읍 금강산로 265,38.25520176,127.2020009,033-450-5558
관광지,논골담길,강원 동해시 묵호진동 2-294,강원 동해시 논골1길2,37.55216582,129.1183172,033-530-2231
관광지,대관령 하늘목장,,강원 평창군 대관령면 꽃밭양지길 458-23,37.71174234,128.7321394,033-332-8061~3
관광지,대진해수욕장,강원 동해시 망상동 1-3,,37.58149301,129.1091949,033-530-2272
관광지,대포항,강원 속초시 대포동 954,,38.17286584,128.6076144,033-633-3171
관광지,덕산해변,강원 삼척시 근덕면 덕산리 119-5,,37.38622893,129.2399822,033-572-3011
