업체구분,업체명,지번 주소,도로명 주소,위도,경도,연락처
동물병원,24시보듬동물병원,강원 강릉시 임당동 134-6,강원 강릉시 경강로 2070,37.75320476,128.8940373,033-655-7975
동물병원,강릉동물병원,강원 강릉시 옥천동 161-1,강원 강릉시 옥가로 18,37.75786009,128.8994287,0507-1315-7584
동물병원,강원동물병원,강원 영월군 영월읍 영흥리 845-10,강원 영월군 영월읍 중앙로 75,37.18358081,128.4721439,033-373-0788
동물병원,강원동물병원,강원 원주시 평원로 67 (중앙동),,37.351566,127.950124,033-641-7584
동물병원,고려동물병원,강원 춘천시 퇴계동 140-23,강원 춘천시 안마산로 189,37.85107671,127.7353155,033-264-9975
동물병원,고제용동물병원,강원 속초시 교동 690-13,강원 속초시 동해대로 4212,38.19492911,128.5779182,033-633-4212
동물병원,광장동물병원,강원 춘천시 효자동 654-3,강원 춘천시 춘천로 188 ,37.8762757,127.735269,033-242-8075
동물병원,그린종합동물병원,강원 원주시 행구로 44 (개운동),,37.34129671,127.9607941,033-762-9882
동물병원,김남수동물병원,강원 화천군 사내면 사창리 423-14,강원 화천군 사내면 사내로 17-1,38.07018774,127.5227849,033-441-3213
동물병원,김재문동물병원,강원 횡성군 횡성읍 읍하리 134-32,강원 횡성군 횡성읍 문정로 10,37.49018689,127.9845844,033-343-5450
동물병원,나은동물병원,강원 강릉시 교동 1881-9,강원 강릉시 교동광장로100번길 8-12,37.76516836,128.877234,033-642-7587
동물병원,나의동물메디컬센터,강원 속초시 조양동 1497-5,강원 속초시 동해대로 4163,38.19091902,128.5793925,033-636-7179
동물병원,누리종합동물병원,강원 원주시 단구동 1512-2,강원 원주시 서원대로 408,37.32997444,127.9500238,033-761-0167
동물병원,늘푸른종합동물병원,강원 원주시 무실동 1723-2,강원 원주시 만대로 15,37.34171866,127.9238389,033-747-7585
동물병원,다나동물병원,강원 정선군 정선읍 봉양리 321-3,강원 정선군 정선읍 비봉로 46,37.38110271,128.6631592,033-563-6563
