업체구분,업체명,지번 주소,도로명 주소,위도,경도,연락처
숙박지,365행복펜션,,강원 정선군 북평면 장열길 83-2,37.456503,128.683384,0507-1423-1365
숙박지,EST펜션,강원 속초시 영랑동 147-3,강원 속초시 영랑해안길 159,38.21650162,128.5953542,033-633-2345
숙박지,hj매그놀리아용평호텔앤리조트,,강원 평창군 대관령면 올림픽로 715,37.645742,128.680769,033-330-7511
숙박지,SL호텔 강릉,강원 강릉시 주문진읍 교항리 190-4,강원 강릉시 주문진읍 주문로 59,37.88915566,128.8254149,033-920-1800
숙박지,가산농원캠핑장,강원 철원군 갈말읍 상사리 628-4,강원 철원군 갈말읍 상사로 377,38.22409963,127.2657242,033-452-9995
숙박지,가을동화펜션,강원 평창군 봉평면 흥정리 285-3,강원 평창군 봉평면 흥정계곡길 72,37.62729821,128.3519084,
숙박지,강릉 로뎀나무 펜션,,강원 강릉시 해안로 621번길 12,37.811725,128.897949,0505-356-9646
숙박지,강이네하우스,강원 양양군 서면 상평리 437,강원 양양군 서면 상평1길 17-2,38.06692416,128.5833551,
숙박지,강촌잠빌펜션,강원 춘천시 남산면 방곡리 281-1,강원 춘천시 남산면 강촌로 250,37.79759514,127.6392088,
숙박지,경포도도애견펜션,강원 강릉시 안현동 403-3,강릉시 하남길 197-15,37.80811754,128.8856929,
숙박지,경포코지펜션,강원 강릉시 난설헌로219번길 22,,37.794047,128.913339,0507-1497-7753
숙박지,골든비치펜션,,강원 동해시 망상길 43,37.590892,129.088827,033-534-3772
숙박지,곰앤패들보드캠핑장,강원 강릉시 안현동 227-1,강원 강릉시 해안로 656-1,37.81494301,128.8953316,
숙박지,국립화천숲속야영장,강원 화천군 간동면 간척리 산151-1,강원 화천군 간동면 배후령길 1144,38.01030672,127.7975555,033-441-4466
숙박지,그랑샤리오,강원 평창군 방림면 계촌리 2228-2,강원 평창군 방림면 감동지길 104,37.47864698,128.273028,
숙박지,그랜드 인투라온 호텔 정선,강원 정선군 사북읍 사북리 354-32,,37.22671758,128.8123856,1666-1243
숙박지,그린향펜션,강원 삼척시 근덕면 용화리 136,강원 삼척시 근덕면 용화안길 81-6,37.28548241,129.2996408,0505-765-0457
숙박지,글램독 애견펜션 양양점,,강원 양양군 현남면 화상천로 46,37.9274375,128.7876086,
숙박지,금방아 민박 캠핑장,강원 영월군 무릉도원면 법흥리 728-1,강원 영월군 무릉도원면 무릉법흥로 516,37.31786034,128.2603555,
숙박지,금호설악리조트,강원 속초시 노학동 795-4,,38.18265196,128.54971,02-737-5400
숙박지,까사초당,강원 강릉시 초당동 243-1,강원 강릉시 초당원길 69-1,37.78718309,128.9135012,
숙박지,꽃내음펜션,강원 삼척시 근덕면 용화리 520-24,강원 삼척시 근덕면 용화안길 172,37.28355509,129.2975712,0505-765-0442
숙박지,꿈엔들캠프,강원 영월군 무릉도원면 법흥리 51,강원 영월군 무릉도원면 무릉법흥로 968-12,37.3428711,128.2809798,
숙박지,나디아민박,강원 삼척시 근덕면 덕산리 107-66,강원 삼척시 근덕면 덕산해변길 144-6,37.38503009,129.2421822,
숙박지,나인원펜션,강원 강릉시 안현동 743-3,강릉시 안현로 114-12,37.80251456,128.8705461,
숙박지,남강캠프,강원 영월군 무릉도원면 법흥리 89-9,강원 영월군 무릉도원면 무릉법흥로 1050-16,37.34996603,128.2802001,033-375-1006
숙박지,남이섬 설리조트펜션,,강원 춘천시 남산면 서백길 707-4,37.79579437,127.5822647,
숙박지,남이섬 호텔정관루,,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8000
숙박지,너랑온펜션,강원 동해시 망상동 358-3,강원 동해시 망상길 42,37.59091793,129.0892665,033-534-3756
숙박지,노아스펜션,강원 춘천시 남산면 강촌리 539,강원 춘천시 남산면 검봉산길 35,37.82272894,127.6149987,033-261-5079
숙박지,놀러와펜션,,강원 홍천군 서면 개야마을길 172-1,37.69662707,127.6388991,
숙박지,다사랑 펜션,강원 삼척시 근덕면 용화리 143-2,강원 삼척시 근덕면 용화안길 64-13,37.2864561,129.3005875,
숙박지,대박이하우스,강원 평창군 봉평면 진조리 260-5,강원 평창군 봉평면 진조2길 281-4,37.55602399,128.3165773,
숙박지,댕숲,,강원 평창군 봉평면 석이바우길 92-34,37.57500478,128.3540142,
숙박지,더퍼피즈블루오션,강원 양양군 강현면 정암리 17-1,강원 양양군 강현면 동해대로 3411,38.14196164,128.6124589,
숙박지,도그밀리,강원 평창군 방림면 계촌리 2232,강원 평창군 방림면 감동지길 100,37.47814652,128.2732607,
숙박지,동해 글로리아펜션,,강원 동해시 망상길 49,37.59128865,129.0885321,
숙박지,디어먼데이 강릉 세인트존스호텔점,"강원 강릉시 창해로 307, 세인트존스호텔 16층",,37.79128002,128.9209319,
숙박지,딜라이트펜션,강원 양양군 손양면 동호리 85-7,강원 양양군 손양면 선사유적로 244,38.05310302,128.6844128,
숙박지,또바기콘도펜션,강원 정선군 남면 무릉리 295,강원 정선군 남면 덕만길 5-19,37.2636234,128.7966475,
숙박지,라마다호텔&스위트평창,강원 평창군 대관령면 횡계리 245-66,강원 평창군 대관령면 오목길 107,37.66003633,128.717992,033-333-1000
숙박지,라비앙펜션,강원 평창군 봉평면 무이리 16-10,강원 평창군 봉평면 봉평북로 250-60,37.62054783,128.3501419,
숙박지,라이프위드도그,강원 인제군 인제읍 원대리 644,강원 인제군 인제읍 자작나무숲길 1112,38.00156001,128.231688,033-461-3377
숙박지,락있수다펜션,강원 정선군 화암면 호촌리 172-7,강원 정선군 화암면 소금강로 2188,37.28984089,128.8402877,
숙박지,러브팩토리펜션&캠핑장,강원 정선군 남면 낙동리 618,강원 정선군 남면 광락로 519,37.31958789,128.6796875,
숙박지,러빙네이쳐 캠핑장,강원 인제군 남면 부평리 1070-2,강원 인제군 남면 설악로 1129,38.00149385,128.1156544,
숙박지,레이지507B,,강원 홍천군 서석면 고분대월길 14-27,37.6995845,128.2468985,
숙박지,로뎀나무 펜션,강원 강릉시 안현동 198,강릉시 해안로621번길 12,37.81182006,128.898001,0505-356-9646
숙박지,리버윅펜션,강원 춘천시 남산면 강촌리 631-1,강원 춘천시 남산면 북한강변길 840,37.8286875,127.6044028,033-262-9601
숙박지,마운틴밸리펜션,강원 철원군 동송읍 상노리 830,강원 철원군 동송읍 담터길 174,38.15224046,127.2042692,033-455-5596
숙박지,맑은물리조트,강원 인제군 기린면 내린천로 4723,,37.97958885,128.2997637,033 463 8703
숙박지,망상파란펜션,강원 동해시 망상동 362-4,강원 동해시 망상길 49,37.59129464,129.0885299,
숙박지,망상파크펜션,강원 동해시 망상동 390-8,강원 동해시 망상길 45,37.59117725,129.0885968,033-534-3993
숙박지,망상펜션,,강원 동해시 망상길 45-1,37.59105109,129.0883498,
숙박지,메이슨독채별장펜션,,강원 홍천군 서면 한치골길 925-30,37.69287766,127.6974387,0507-1320-5174
숙박지,메이플펜션,강원 정선군 남면 무릉리 739-7,강원 정선군 남면 자뭇골길 206,37.2454475,128.7613148,
숙박지,메이힐스리조트,강원 정선군 고한읍 고한리 142,강원 정선군 고한읍 물한리길 8,37.21146751,128.8353139,033-590-1000
숙박지,명파해변 오토캠핑장,강원 고성군 현내면 명파리 230-29,강원 고성군 현내면 명파4길 47,38.54342995,128.4053666,
숙박지,모모게스트하우스,,강원 횡성군 갑천면 외갑천로736번길 4,37.56598806,128.0839122,
