업체구분,업체명,지번 주소,도로명 주소,위도,경도,연락처
식음료,103번길,강원 양양군 현남면 시변리 9-2 d동,강원 양양군 현남면 인구중앙길 103,37.973863,128.758898,
식음료,1938슬로우,강원 강릉시 용강동 43-1,강원 강릉시 임영로141번길 4-6,37.75394842,128.8910696,033-646-4649
식음료,5구도선장,강원 속초시 중앙동 482-17,강원 속초시 중앙부두길 51,38.20282081,128.5921603,033-636-5950
식음료,Cafe COEL,,강원 속초시 장사항해안길 25,38.22392,128.589026,0507-1344-4321
식음료,mtd버거하우스,,강원 양양군 현북면 하조대2길 48-101,38.022806,128.720845,0507-1352-0895
식음료,Rest,강원 강릉시 선수촌로 79-21 1층,,37.757744,128.867759,033-643-9375
식음료,갈매기다방,강원 강릉시 연곡면 영진리 357-87,강원 강릉시 연곡면 영진길 63,37.87031813,128.8429768,0507-1317-1874
식음료,감자밭,강원 춘천시 신북읍 천전리 99-13,강원 춘천시 신북읍 신샘밭로 674,37.92958863,127.784517,1566-3756
식음료,감자아일랜드 온의점,강원 춘천시 방송길 77 상가동 1층 1310호,,37.869295,127.721395,0507-1356-4681
식음료,강산숯불닭갈비막국수,강원 춘천시 신북읍 천전리 672-1,강원 춘천시 신북읍 신샘밭로 621,37.9305137,127.7785203,033-242-9972
식음료,개고생,강원 원주시 단구동 1557-6,강원 원주시 천매봉길 20-9,37.32289779,127.9440499,
식음료,개버랜드,강원 강릉시 구정면 여찬리 649,강원 강릉시 구정면 구정중앙로 155-8,37.71421755,128.8737574,033-646-2375
식음료,개스토랑in위촌길299,강원 강릉시 성산면 위촌리 655-1,강원 강릉시 성산면 위촌길 299,37.7593839,128.8363287,070-7787-4733
식음료,거북이서프바,강원 양양군 현남면 남애리 180-13,강원 양양군 현남면 화상해안길 247,37.9342823,128.7889415,
식음료,고목,강원 춘천시 남산면 방하리 198,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8053
식음료,고심쌀롱,강원 강릉시 사천면 사천진리 266-5,강원 강릉시 사천면 진리해변길 131,37.8424615,128.8737648,070-8800-4033
식음료,그리심,,강원 평창군 평창읍 제방길 33-6,37.36262603,128.3856955,0507-1359-4197
식음료,글라스하우스,강원 고성군 토성면 천진리 111,강원 고성군 토성면 천진해변길 43,38.26061724,128.5598592,033-637-0406
식음료,나나 Dog,강원 속초시 노학동 843-10,강원 속초시 관광로 250-20,38.18262641,128.5405087,
식음료,나뽕남 본점,강원 양양군 현남면 시변리 33-27,강원 양양군 현남면 새나루길 9-8,37.97156103,128.7612264,070-8847-4631
식음료,나인비치37Pub,,강원 동해시 동해대로 6218,37.59003201,129.0961145,0507-1344-2163
식음료,낙산바다회마을,강원 양양군 강현면 전진리 10-2,강원 양양군 강현면 해맞이길 4,38.12060497,128.6302957,
식음료,남다르게,강원 속초시 대포동 963,"강원 속초시 대포항희망길 59, S동 17호",38.17399079,128.605784,
식음료,남이섬 고목,,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8053
식음료,남이섬 섬향기,,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8054
식음료,남이섬 스윙까페 & 베이커리,,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8020
식음료,대관령한우프라자,강원 평창군 봉평면 무이리 236-2,강원 평창군 봉평면 무이진등길 37,37.60341398,128.3413708,033-332-7222
식음료,댕댕클럽,강원 강릉시 홍제동 657-4,강원 강릉시 사임당로 141,37.75729621,128.8654626,033-647-7000
식음료,도그스테이블,강원 춘천시 석사동 172,강원 춘천시 안마산로 294-30,37.84389915,127.7454031,033-264-0024
식음료,도즈오프 애견운동장,강원 원주시 신림면 황둔리 563,강원 원주시 신림면 신림황둔로 1060,37.25387424,128.176852,
식음료,둥개둥개,강원 속초시 조양동 1537-1,강원 속초시 선사로2길 14,38.18727833,128.5941226,
식음료,레인코브,,강원 춘천시 소양고개길 17-1,37.88432886,127.7253033,0507-1361-1081
식음료,루체,강원 원주시 판부면 서곡리 1989-4,강원 원주시 판부면 매봉길 16-4,37.32113709,127.9424283,033-766-0216
식음료,르꼬따쥬,강원 강릉시 대전동 67,강원 강릉시 한밭골길 50-11,37.78752821,128.8642767,070-4789-0729
식음료,마론과자점,"강원 춘천시 후석로 449, 1층",,37.88920101,127.7419823,0507-1353-6205
식음료,마린데크,강원 삼척시 교동 86-3,강원 삼척시 새천년도로 326,37.45672565,129.1860452,033-574-2555
식음료,마마타타,강원 강릉시 지변동 23-1,강원 강릉시 경포로 33-25,37.77373749,128.8787627,033-647-3391
식음료,만선포차,,강원 강릉시 하슬라로206번길 12-7,37.76722151,128.8769942,0507-1357-4136
식음료,머구리횟집,강원 속초시 대포동 956,강원 속초시 대포항희망1길 89-2,38.17454703,128.6082991,033-635-6976
식음료,메밀골동해막국수 강문점,강원 강릉시 강문동 212,강원 강릉시 창해로350번길 25,37.79631596,128.9171615,033-651-3395
식음료,메밀라운지,,강원 양양군 현남면 인구중앙길 46-38,37.96766779,128.7613305,0507-1369-1717
식음료,물레방아식당,강원 양양군 서면 오색리 113-1,강원 양양군 서면 설악로 1417-7,38.07616163,128.5032213,033-672-8800
식음료,미픽펍,강원 고성군 죽왕면 삼포리 243-14,강원 고성군 죽왕면 삼포해변길 11-8,38.31705029,128.5316338,070-7793-0328
식음료,바다텃밭Lab,강원 강릉시 경강로 2015 2층,,37.74958813,128.8903084,0507-1425-7958
식음료,바셀로,강원 평창군 용평면 장평리 119-6,강원 평창군 용평면 느므골길 53,37.57758204,128.4278411,033-333-0032
