업체구분,업체명,지번 주소,도로명 주소,위도,경도,연락처
식음료,J카페,강원 동해시 천곡동 522,강원 동해시 항골길 94,37.52579338,129.0975411,033-534-3934
식음료,단우물카페,강원 춘천시 신북읍 산천리 320-2,강원 춘천시 신북읍 신북로 323,37.95283265,127.7463275,
식음료,로스터리 카페 더웨이,,강원 춘천시 신동면 풍류1길 72,37.81616293,127.7228801,033-264-3837
식음료,마추깡 카페,,강원 고성군 거진읍 해오름해변길 117,38.43889946,128.4539336,033-682-3050
식음료,바크카페,강원 속초시 중앙동 468-32,강원 속초시 중앙로 150-1,38.20406025,128.5916421,033-637-2292
식음료,발바닥 애견카페,강원 춘천시 동내면 거두리 546-2,강원 춘천시 동내면 거두길 26,37.86076426,127.7624828,
식음료,사니다카페,강원 원주시 호저면 주산리 992-12,강원 원주시 호저면 칠봉로 109-128,37.40696776,127.914382,070-7776-4422
식음료,서면카페,강원 춘천시 서면 금산리 495-7,강원 춘천시 서면 박사로 976,37.90171712,127.6970199,033-243-6222
식음료,스누피 애견카페,,강원 춘천시 동면 금옥길 132,37.91680754,127.7957754,033-255-9066
식음료,스퀘어루트카페,강원 고성군 죽왕면 가진리 275,강원 고성군 죽왕면 가향길 2-7,38.37524004,128.5057252,033-681-0604
식음료,앤트리카페,,강원 고성군 죽왕면 자작도선사1길 18-1,38.3093006,128.5402627,0507-1436-0552
식음료,어느멋진날카페,강원 양양군 강현면 정암리 148-2,강원 양양군 강현면 동해대로 3373,38.13892965,128.6148906,
식음료,연봉리제빵소 로스터리카페,,강원 홍천군 홍천읍 남산마을길3길 25,37.6823227,127.8820758,0507-1345-5093
식음료,예와생스튜디오카페,강원 춘천시 동면 지내리 407,강원 춘천시 동면 가산로 186-5,37.92083812,127.7822099,
식음료,유기농카페,강원 춘천시 신북읍 지내리 664-1,강원 춘천시 신북읍 지내고탄로 184,37.94627753,127.7303991,
식음료,카페 8mm,강원 춘천시 신동면 팔미리 237-2,강원 춘천시 신동면 모오리길 47-28,37.82232826,127.7037905,033-262-6868
식음료,카페 까만콩,강원 홍천군 홍천읍 결운리 314-16,강원 홍천군 홍천읍 홍천로 666-1,37.70679886,127.9101476,
식음료,카페 덕덕,,강원 강릉시 난설헌로 219번길 20-5,37.79429638,128.9139488,
식음료,카페 보름월,,강원 영월군 영월읍 분수대길 64,37.18060974,128.4651619,033-375-3077
식음료,카페 애드,강원 속초시 청초호반로 246-2,,38.20028041,128.584245,033-299-0024
식음료,카페 위드민,강원 원주시 단구동 1694-14,강원 원주시 앙월길 47,37.31700875,127.9574499,033-766-7654
식음료,카페 카테고리,강원 철원군 동송읍 북원로 1388,,38.20678685,127.2296113,0507-1411-3323
식음료,카페 캐빈,강원 춘천시 남면 후동리 367-2,강원 춘천시 남면 버들길 60-7,37.7473815,127.6301543,
식음료,카페 테일,,강원 고성군 죽왕면 가진길 40-5,38.37282715,128.5087306,0507-1437-8060
식음료,카페견로당,강원 인제군 인제읍 원대리 671-13,강원 인제군 인제읍 자작나무숲길 1061-5,38.00390854,128.2267036,
식음료,카페공간,강원 철원군 갈말읍 상사리 535,강원 철원군 갈말읍 직탕길 26,38.2079295,127.2707287,
식음료,카페나스,강원 춘천시 신북읍 천전리 85-1,강원 춘천시 신북읍 신샘밭로 706-8,37.92941846,127.7875224,033-241-9445
식음료,카페너니,강원 춘천시 석사동 660-9,강원 춘천시 효석로 129,37.85734465,127.7427135,
식음료,카페너래,,강원 속초시 원암학사평길 114,38.20630788,128.5205349,0507-1423-1324
식음료,카페노멀데이,강원 강릉시 임당동 90-3,강원 강릉시 문화의길8번길 11,37.75547523,128.8954558,
식음료,카페도즈오프,강원 원주시 신림면 신림황둔로 1060,,37.25388757,128.1768519,
식음료,카페독스,강원 철원군 동송읍 이평리 851-28,강원 철원군 동송읍 이평로 91,38.20853256,127.214094,033-455-1117
식음료,카페루아,강원 강릉시 주문진읍 향호리 113-1,강원 강릉시 주문진읍 아래강정길 8-47,37.90761981,128.8030868,
식음료,카페멜버른,강원 춘천시 효자동 704-23,강원 춘천시 남춘로45번길 28,37.86638945,127.7297045,
식음료,카페물치에,,강원 양양군 강현면 장산1길 48-1,38.14697066,128.5951047,033-673-1085
식음료,카페뮤지스,강원 영월군 영월읍 하송리 121-2,강원 영월군 영월읍 은행나무길 90,37.17838889,128.4626857,033-375-5497
식음료,카페정원,,강원 화천군 화천읍 가손이길 36,38.10004603,127.7262461,033-441-9500
식음료,카페캐빈,,강원 춘천시 남면 버들길 60-7,37.7473361,127.6301876,
식음료,프로방스 카페,강원 철원군 갈말읍 군탄리 1749-2,강원 철원군 갈말읍 순담길 299,38.18572275,127.3005054,
식음료,헬로우씨카페,강원 고성군 죽왕면 문암진리 134-70,강원 고성군 죽왕면 괘진길 53-11,38.29628202,128.5474508,
식음료,화천써비스허브정원카페,강원 화천군 하남면 거례리 265,강원 화천군 하남면 춘화로 2861-10,38.06216819,127.6982912,033-442-4660
식음료,신북커피,강원 춘천시 신북읍 천전리 672-5,강원 춘천시 신북읍 신샘밭로 622-7,37.9296128,127.7788168,
식음료,아라커피,강원 고성군 죽왕면 공현진리 153,강원 고성군 죽왕면 공현진길 6,38.35236137,128.5097545,
식음료,와수리 커피,강원 철원군 서면 와수리 1194-58,강원 철원군 서면 아리랑로37번길 19,38.24386997,127.4397529,
식음료,와이어드커피,강원 춘천시 동내면 학곡리 5-14,강원 춘천시 동내면 순환대로 632,37.83984386,127.7621803,
식음료,커피베이 영월점,강원 영월군 영월읍 영흥리 947-53,강원 영월군 영월읍 중앙로 32,37.18340187,128.4671989,
식음료,커피정원,강원 삼척시 정상동 243-2,강원 삼척시 오십천로 566,37.43371985,129.1777922,
식음료,키크러스커피,강원 강릉시 견소동 1,강원 강릉시 창해로14번길 48-1,37.77079702,128.9495701,
식음료,화이어드커피,강원 춘천시 동내면 순환대로 632 1층,,37.83984404,127.7621803,
식음료,커피 벌스데이 ,,,37.555071,126.923825,
식음료,스태픽스,,,37.577406,126.967831,
식음료,모리노코,,,37.565382,126.9171,
식음료,카페스콘,,,37.564077,126.924785,
식음료,펠리칸카페,,,37.547483,126.922476,
식음료,닷닷닷2,,,37.618326,126.917104,
식음료,어라운드데이,,,37.546856,127.04126,
식음료,연트럴다방,,,37.563752,126.923555,
식음료,수택,,,37.551547,126.915749,
